Latitude,Longitude,point
47.87690, 16.22180, RPT522
47.87040, 16.21498, RPT523
47.87079, 16.21422, RPT524
47.86994, 16.21236, RPT525
47.86946, 16.21053, RPT526
47.86852, 16.20787, RPT527
47.86749, 16.20164, RPT528
47.86715, 16.20123, RPT529
47.86597, 16.20016, RPT530
47.86557, 16.19827, RPT531
47.86552, 16.19828, RPT532
47.86410, 16.18976, RPT533
47.86415, 16.18975, RPT534
47.86347, 16.17833, RPT535
47.86197, 16.17753, RPT536
47.86280, 16.17535, RPT537
47.86260, 16.17536, RPT538
47.86239, 16.17542, RPT539
47.86171, 16.17581, RPT540
47.85896, 16.17703, RPT541
47.85832, 16.17786, RPT542
47.85808, 16.17883, RPT543
47.85718, 16.18044, RPT544
47.85590, 16.18239, RPT545
47.84172, 16.18082, RPT546
47.83560, 16.17300, RPT547
47.83153, 16.16679, RPT548
47.83154, 16.16464, RPT549
47.83159, 16.15947, RPT550
47.83148, 16.15908, RPT551
47.82965, 16.15323, RPT552
47.82852, 16.15162, RPT553
47.82495, 16.14545, RPT554
47.82469, 16.14484, RPT555
47.82140, 16.12995, RPT556
47.81830, 16.12336, RPT557
47.81227, 16.11177, RPT558
47.81192, 16.11232, RPT559
47.81000, 16.11134, RPT560
47.80966, 16.11212, RPT561
47.80921, 16.11243, RPT562
47.80730, 16.11148, RPT563
47.80681, 16.11353, RPT564
47.79060, 16.11997, RPT565
47.78697, 16.11499, RPT566
47.77893, 16.10860, RPT567
47.77889, 16.10846, RPT568
47.77832, 16.10799, RPT569
47.77809, 16.10800, RPT570
47.77743, 16.11018, RPT571
47.76473, 16.09686, RPT572
47.75850, 16.09189, RPT573
47.75775, 16.09145, RPT574
47.75785, 16.09088, RPT575
47.75764, 16.09068, RPT576
47.74115, 16.08896, RPT577
47.73567, 16.08591, RPT578
47.73618, 16.08452, RPT579
47.73191, 16.07985, RPT580
47.73152, 16.07555, RPT581
47.72972, 16.07654, RPT582
47.72963, 16.07642, RPT583
47.72743, 16.07040, RPT584
47.72742, 16.06957, RPT585
47.71793, 16.04639, RPT586
47.71792, 16.04618, RPT587
47.71793, 16.04612, RPT588
47.71793, 16.04603, RPT589
47.71746, 16.04649, RPT590
